iter	Passed	Remaining
802	379722	93157
803	380183	92681
804	380591	92192
805	380935	91689
806	381502	91239
807	381956	90762
808	382356	90272
809	382746	89779
810	383240	89312
811	383711	88839
812	384112	88350
813	384608	87883
814	384964	87384
815	385434	86911
816	385795	86414
817	386295	85948
818	386797	85482
819	387187	84992
820	387665	84521
821	388130	84047
822	388653	83586
823	389227	83136
824	389715	82666
825	390126	82181
826	390758	81742
827	391167	81257
828	391692	80795
829	392150	80319
830	392739	79871
831	393276	79411
832	393814	78951
833	394349	78491
834	394874	78029
835	395483	77582
836	395886	77096
837	396334	76618
838	396805	76145
839	397329	75681
840	397645	75179
841	398111	74705
842	398625	74239
843	399069	73761
844	399599	73299
845	400029	72818
846	400472	72340
847	400854	71851
848	401248	71364
849	401667	70882
850	402035	70391
851	402567	69929
852	403051	69459
853	403514	68984
854	404068	68526
855	404559	68056
856	405011	67580
857	405554	67119
858	405901	66626
859	406419	66161
860	406836	65679
861	407408	65223
862	407882	64750
863	408412	64287
864	408820	63804
865	409334	63338
866	409791	62863
867	410249	62388
868	410786	61925
869	411236	61449
870	411748	60982
871	412292	60519
872	412750	60045
873	413262	59577
874	413691	59098
875	414145	58623
876	414604	58148
877	415174	57689
878	415631	57214
879	416125	56744
880	416607	56272
881	417096	55802
882	417605	55333
883	418005	54851
884	418455	54375
885	418877	53896
886	419339	53422
887	419835	52952
888	420337	52483
889	420749	52002
890	421168	51523
891	421650	51051
892	422099	50576
893	422570	50103
894	423076	49634
895	423482	49154
896	423885	48673
897	424248	48188
898	424598	47702
899	425081	47231
900	425644	46768
901	426071	46291
902	426633	45828
903	427061	45351
904	427515	44877
905	428027	44408
906	428573	43944
907	428991	43466
908	429472	42994
909	430027	42530
910	430492	42056
911	430974	41585
912	431482	41116
913	431934	40641
914	432459	40173
915	432939	39701
916	433410	39229
917	433796	38748
918	434238	38273
919	434707	37800
920	435089	37320
921	435563	36848
922	436127	36383
923	436655	35915
924	437132	35443
925	437618	34971
926	438126	34501
927	438641	34032
928	438999	33551
929	439453	33077
930	439935	32605
931	440362	32129
932	440892	31661
933	441490	31197
934	441983	30726
935	442346	30245
936	442783	29770
937	443224	29296
938	443570	28815
939	443963	28338
940	444437	27865
941	444913	27393
942	445413	26923
943	445863	26449
944	446303	25975
945	446799	25504
946	447286	25032
947	447732	24559
948	448169	24084
949	448679	23614
950	449100	23139
951	449569	22667
952	450066	22196
953	450450	21719
954	450875	21245
955	451198	20766
956	451624	20292
957	452061	19818
958	452452	19343
959	452859	18869
960	453293	18395
961	453642	17919
962	454112	17447
963	454507	16973
964	454896	16498
965	455276	16024
966	455738	15552
967	456176	15080
968	456718	14611
969	457141	14138
970	457638	13667
971	458153	13197
972	458617	12726
973	459035	12253
974	459564	11783
975	460167	11315
976	460604	10843
977	461063	10371
978	461487	9899
979	461883	9426
980	462309	8954
981	462751	8482
982	463198	8010
983	463651	7539
984	464139	7068
985	464619	6597
986	465025	6124
987	465469	5653
988	465943	5182
989	466500	4712
990	466960	4240
991	467400	3769
992	467843	3297
993	468310	2826
994	468675	2355
995	469156	1884
996	469665	1413
997	470127	942
998	470660	471
999	471136	0
