iter	Logloss
127	0.3000280824
128	0.2999577054
129	0.2999293591
130	0.2998355231
131	0.2997990883
132	0.2997409784
133	0.2995948728
134	0.2994998394
135	0.2994542654
136	0.2993993078
137	0.2993612358
138	0.2993253631
139	0.2992901257
140	0.299207115
141	0.2991485408
142	0.2990575883
143	0.2990270428
144	0.2989973769
145	0.2989341109
146	0.2988713581
147	0.2988044755
148	0.2987696046
149	0.2987196076
150	0.2986594206
151	0.2986215441
152	0.2985654624
153	0.2985305672
154	0.2984911512
155	0.2984514908
156	0.2982061487
157	0.2981606725
158	0.2981182508
159	0.2980963313
160	0.2980361443
161	0.2979980723
162	0.2979598536
163	0.2979095634
164	0.2978613991
165	0.2978205169
166	0.297773379
167	0.2977519727
168	0.2977156601
169	0.2976718944
170	0.2976350198
171	0.2976047185
172	0.2975801355
173	0.2975494921
174	0.2975179447
175	0.2974880833
176	0.2974538723
177	0.2974321971
178	0.2974081761
179	0.2973248478
180	0.2972856517
181	0.2972466511
182	0.2972182559
183	0.2971946014
184	0.2971796463
185	0.2971377378
186	0.2971093182
187	0.2970572929
188	0.2970290688
189	0.2969712522
190	0.2969516541
191	0.2969021947
192	0.2968855779
193	0.2968412502
194	0.2968174246
195	0.2968060373
196	0.2967616118
197	0.2967434555
198	0.2967236131
199	0.296695389
200	0.2965746973
201	0.2965465953
202	0.296536552
203	0.2965132396
204	0.2964892918
205	0.2964614098
206	0.2964429603
207	0.2964212852
208	0.2963879783
209	0.2963243213
210	0.2962983942
211	0.2962755461
212	0.2962577319
213	0.2961338391
214	0.2961114308
215	0.2960783194
216	0.2960539807
217	0.2960356778
218	0.2959823819
219	0.295949466
220	0.2959053826
221	0.2958831943
222	0.2958641827
223	0.295850254
224	0.2958032871
225	0.2957621361
226	0.2957359891
227	0.2957091578
228	0.2956543224
229	0.2956178632
230	0.295604301
231	0.2955498565
232	0.2955175027
233	0.295497367
234	0.2954636447
235	0.2954276987
236	0.2954021626
237	0.2953869142
238	0.2953419023
239	0.2953220354
240	0.2953021197
241	0.295273749
242	0.2952579141
243	0.2952314495
244	0.2951453109
245	0.2951249309
246	0.295111051
247	0.2950994926
248	0.2950810675
249	0.2950549449
250	0.2950346382
251	0.2950214181
252	0.2950018933
253	0.2949865717
254	0.2949786543
255	0.294969124
256	0.2949549509
257	0.2949315652
258	0.2949246252
259	0.2949106965
260	0.294881837
261	0.294860895
262	0.2948386578
263	0.2948258042
264	0.2948011722
265	0.2947898826
266	0.2947708955
267	0.2947585795
268	0.2947466789
269	0.2947345096
270	0.2947237575
271	0.2947119792
272	0.2947050881
273	0.2946898642
274	0.2946778414
275	0.2946556531
276	0.2946501305
277	0.2946352975
278	0.2946143066
279	0.2945937067
280	0.2945798023
281	0.2945696857
282	0.2945508451
283	0.2945360855
284	0.2945297565
285	0.2945108182
286	0.2944903649
287	0.2944813967
288	0.2944767538
289	0.2944663439
290	0.2944446932
291	0.2943842618
292	0.2943719947
293	0.2943638818
294	0.2943410581
295	0.2943159374
296	0.2943019109
297	0.2942969747
298	0.2942829971
299	0.2942633257
300	0.2942478819
301	0.2942367144
302	0.294217092
303	0.2941880126
304	0.294174206
305	0.2941589332
306	0.2941522865
307	0.2941317843
308	0.2941204946
309	0.2941191017
310	0.2941033402
311	0.2940731612
312	0.2940504597
313	0.2940414671
314	0.2940345027
315	0.2940258033
316	0.2940212826
317	0.2940089422
318	0.293997677
319	0.2939727273
320	0.2939535692
321	0.2939477777
322	0.2939412287
323	0.2939289372
324	0.2939236834
325	0.2939103411
326	0.2938973653
327	0.2938877862
328	0.2938767409
329	0.2938717315
330	0.2938459754
331	0.2938356144
332	0.293815161
333	0.2938103959
334	0.2937889652
335	0.2937678032
336	0.2937605211
337	0.2937527503
338	0.2937460547
339	0.2937409231
340	0.2937043661
341	0.2936943227
342	0.2936885069
343	0.2936734051
344	0.2936647546
345	0.2936577658
346	0.2936533184
347	0.2936399761
348	0.2936355286
349	0.2936257296
350	0.2936183742
351	0.2936104079
352	0.2935871444
353	0.293580009
354	0.2935627568
355	0.293546531
356	0.2935302319
357	0.2935228277
358	0.2935098763
359	0.2935001995
360	0.2934862707
361	0.2934802349
362	0.2934730506
363	0.2934636426
364	0.2934498604
365	0.2934410144
366	0.2934345876
367	0.2934106643
368	0.2933950005
369	0.2933906753
370	0.2933833443
371	0.2933775773
372	0.2933722258
373	0.2933586146
374	0.2933416557
375	0.2933320033
376	0.2933256743
377	0.2933164862
378	0.293305392
379	0.2932881399
380	0.293284621
381	0.2932695193
382	0.2932622617
383	0.2932411974
384	0.2932313984
385	0.2932271465
386	0.293217323
387	0.2932091857
388	0.2932064732
389	0.2932021969
390	0.2931912982
391	0.293186753
392	0.2931823056
393	0.2931678148
394	0.2931417899
395	0.2931323575
396	0.2931286187
397	0.2931216054
398	0.2931140057
399	0.2931025938
400	0.2930850729
401	0.2930792081
402	0.2930660125
403	0.2930625669
404	0.2930569954
405	0.2930442396
406	0.2930381305
407	0.293033121
408	0.2930263276
409	0.293021587
410	0.2929945114
411	0.292987156
412	0.2929827086
413	0.2929768438
414	0.2929569525
415	0.2929442456
416	0.2929276288
417	0.292917561
418	0.2929098635
419	0.2929034856
420	0.292840806
421	0.2928301273
422	0.2928250934
423	0.2928152455
424	0.2928037848
425	0.2927976512
426	0.2927912978
427	0.2927813521
428	0.2927732148
429	0.2927657861
430	0.2927561581
431	0.2927543987
432	0.292749878
433	0.2927347518
434	0.2927308175
435	0.2927247328
436	0.292701396
437	0.2926962644
438	0.2926855368
439	0.2926760065
440	0.2926664763
441	0.2926581435
442	0.2926361751
443	0.2926244945
444	0.2926170658
445	0.2926065581
446	0.2925852007
447	0.2925807043
448	0.292574693
449	0.2925692192
450	0.2925657981
451	0.2925612529
452	0.2925462245
453	0.292535839
454	0.2925297543
455	0.2925242561
456	0.2925193444
457	0.2925132597
458	0.292511989
459	0.2925032896
460	0.2924870638
461	0.2924809303
462	0.2924770449
463	0.2924702515
464	0.292465633
465	0.2924567382
466	0.2924529994
467	0.2924486253
468	0.2924435181
469	0.2924337923
470	0.2924317641
471	0.2924288073
472	0.2924201079
473	0.292417371
474	0.2924052017
475	0.2923979929
476	0.2923938632
477	0.2923480937
478	0.2923368529
479	0.2922902526
480	0.292282604
481	0.2922758351
482	0.2922686507
483	0.2922539644
484	0.2922500057
485	0.2922389116
486	0.2922311163
487	0.292228184
488	0.2922210729
489	0.292210101
490	0.2922094168
491	0.292205849
492	0.2921889634
493	0.2921747903
494	0.2921679236
495	0.2921603239
496	0.2921576848
497	0.2921560475
498	0.2921476414
499	0.2921463463
500	0.2921347389
501	0.2921311223
502	0.2921260151
503	0.2921137969
504	0.2921077366
505	0.2921034114
506	0.2920980598
507	0.29209393
508	0.292076458
509	0.292073159
510	0.2920709598
511	0.2920671966
512	0.2920590836
513	0.2920525591
514	0.2920485271
515	0.2920416116
516	0.2920392412
517	0.2920364555
518	0.2920299554
519	0.2920222579
520	0.2920121168
521	0.2920061298
522	0.2919995564
523	0.2919853344
524	0.2919797629
525	0.2919752422
526	0.2919670559
527	0.2919587475
528	0.2919549599
529	0.2919483865
530	0.2919437436
531	0.291937048
532	0.2919304012
533	0.2919232169
534	0.2919168146
535	0.2919131735
536	0.291907431
537	0.291904914
538	0.2919010286
539	0.2918937466
540	0.2918739286
541	0.2918643984
542	0.2918610506
543	0.2918522534
544	0.2918360276
545	0.291829552
546	0.2918267418
547	0.2918241271
548	0.2918220988
549	0.2918069238
550	0.2917947056
551	0.291788181
552	0.2917863972
553	0.2917797016
554	0.2917738124
555	0.2917633047
556	0.2917617897
557	0.291759737
558	0.2917496936
559	0.2917454417
560	0.2917404566
561	0.2917382085
562	0.2917346163
563	0.2917291426
564	0.2917220315
565	0.2917178529
566	0.2917112795
567	0.2917108152
568	0.2916989146
569	0.29168242
570	0.2916769218
571	0.2916668784
572	0.2916512391
573	0.2916464496
574	0.2916294418
575	0.2916288064
576	0.2916187875
577	0.2916162461
578	0.2916134603
579	0.2916071313
580	0.2916013887
581	0.2915915408
582	0.2915836723
583	0.2915805444
584	0.2915785651
585	0.2915755838
586	0.2915725048
587	0.291568595
588	0.2915505609
589	0.2915480684
590	0.2915410307
591	0.2915317693
592	0.2915268087
593	0.2915221902
594	0.2915204063
595	0.2915177916
596	0.2915096054
597	0.2915053046
598	0.2915013947
599	0.2914992443
600	0.2914985601
601	0.2914905449
602	0.2914873193
603	0.2914788154
604	0.2914736594
605	0.2914683811
606	0.2914631028
607	0.2914424784
608	0.2914395705
609	0.2914317997
610	0.2914276455
611	0.2914244932
612	0.2914169179
613	0.291411102
614	0.2914075099
615	0.2914047241
616	0.2913974665
617	0.2913464676
618	0.2913380859
619	0.2913260143
620	0.2913162885
621	0.2913126475
622	0.2913112791
623	0.2913088843
624	0.2913066117
625	0.2913002582
626	0.2912945157
627	0.2912918276
628	0.2912892618
629	0.2912720585
630	0.2912685397
631	0.2912637502
632	0.2912608666
633	0.291256517
634	0.2912534868
635	0.2912515319
636	0.2912354283
637	0.2912269977
638	0.2912224281
639	0.2912160257
640	0.2912148772
641	0.2912100388
642	0.2912026834
643	0.291199409
644	0.2911944728
645	0.291191125
646	0.2911902942
647	0.2911826455
648	0.2911549102
649	0.2911487766
650	0.2911462352
651	0.2911406881
652	0.2911367783
653	0.2911341636
654	0.2911240958
655	0.2911201126
656	0.2911158851
657	0.2911107779
658	0.291105353
659	0.2910977533
660	0.2910966536
661	0.2910940634
662	0.2910884674
663	0.2910812587
664	0.2910708732
665	0.2910661814
666	0.2910650817
667	0.2910633223
668	0.2910575553
669	0.2910556981
670	0.2910513729
671	0.2910415738
672	0.2910354647
673	0.2910306263
674	0.2910235397
675	0.2910218048
676	0.2910205096
677	0.2910169663
678	0.2910114437
679	0.2910064342
680	0.2910035263
681	0.2910023045
682	0.2909941182
683	0.2909842215
684	0.2909793342
685	0.2909754732
686	0.290973445
687	0.2909662118
688	0.290959614
689	0.2909492285
690	0.2909422641
691	0.2909404069
692	0.2909350309
693	0.2909295082
694	0.2909179498
695	0.2909132091
696	0.2909114741
697	0.290908053
698	0.2909050473
699	0.290903239
700	0.2908973987
701	0.2908824192
702	0.2908806353
703	0.2908783627
704	0.2908673174
705	0.2908596444
706	0.2908533887
707	0.2908474017
708	0.290841146
709	0.2908369918
710	0.2907981623
711	0.2907930306
712	0.2907831827
713	0.290764049
714	0.2907609944
715	0.2907563515
716	0.2907540789
717	0.2907431558
718	0.29073712
719	0.2907358248
720	0.2907294469
721	0.2907252927
722	0.2907234356
723	0.2907223604
724	0.2907209186
725	0.2907148095
726	0.2907098489
727	0.29070633
728	0.290697484
729	0.2906945761
730	0.2906878561
731	0.2906841906
732	0.2906812582
733	0.2906760288
734	0.2906705062
735	0.2906677204
736	0.2906655456
737	0.2906603651
738	0.290658288
739	0.2906501995
740	0.2906435039
741	0.2906405715
742	0.2906354154
743	0.2906319455
744	0.2906293552
745	0.2906263251
746	0.2906230017
747	0.2906209735
748	0.2906139358
749	0.2906114921
750	0.2906055785
751	0.2905995671
752	0.2905968303
753	0.2905936291
754	0.2905890595
755	0.2905840256
756	0.2905761814
757	0.2905710009
758	0.2905668956
759	0.2905646963
760	0.2905598335
761	0.2905571699
762	0.2905556304
763	0.2905503032
764	0.290548104
765	0.2905460269
766	0.2905396245
767	0.2905342974
768	0.2905318293
769	0.2905266732
770	0.2905215415
771	0.2905184137
772	0.2905155302
773	0.2905143816
774	0.2905109117
775	0.2905040939
776	0.2904949058
777	0.2904915824
778	0.2904855466
779	0.290483274
780	0.2904820278
781	0.2904751856
782	0.29047174
783	0.2904683189
784	0.2904675125
785	0.2904605726
786	0.2904582022
787	0.2904546834
788	0.2904489164
789	0.2904428317
790	0.2904398016
791	0.2904349876
792	0.2904331548
793	0.2904287563
794	0.290425775
795	0.2904189084
796	0.2904165136
797	0.290406959
798	0.2904010698
799	0.2903970378
800	0.2903881918
801	0.2903848928
802	0.2903793702
803	0.2903404673
804	0.2903361421
805	0.2903348714
806	0.2903308883
807	0.2903271006
808	0.2903172527
809	0.2903149801
810	0.2903098729
811	0.2903053277
812	0.2903027375
813	0.2903011002
814	0.2902990964
815	0.2902964328
816	0.2902901282
817	0.2902865361
818	0.2902821375
819	0.2902755885
820	0.2902739757
821	0.2902720941
822	0.2902675489
823	0.2902630038
824	0.290261
825	0.290257921
826	0.2902515186
827	0.2902483908
828	0.2902457028
829	0.2902416707
830	0.2902379075
831	0.2902199223
832	0.2902157192
833	0.2902104654
834	0.2902090481
835	0.29020658
836	0.2902039164
837	0.2901968543
838	0.2901932132
839	0.2901916249
840	0.2901868109
841	0.290180042
842	0.2901744949
843	0.2901677016
844	0.2901629365
845	0.2901616902
846	0.290154066
847	0.290142141
848	0.2901402839
849	0.2901374737
850	0.2901359586
851	0.2901335883
852	0.2901294096
853	0.290127137
854	0.2901238381
855	0.2901228362
856	0.2901203926
857	0.290112353
858	0.2901097627
859	0.290104069
860	0.2900923395
861	0.2900860349
862	0.2900832003
863	0.2900823694
864	0.2900789972
865	0.2900775066
866	0.2900687339
867	0.2900654594
868	0.290062356
869	0.2900604255
870	0.2900587883
871	0.2900536077
872	0.2900524103
873	0.2900504799
874	0.2900489648
875	0.2900436621
876	0.2900411696
877	0.2900370887
878	0.2900343029
879	0.2900272164
880	0.2900198365
881	0.2900171241
882	0.2900107706
883	0.290006763
884	0.2900047592
885	0.290001216
886	0.2899955223
887	0.2899936895
888	0.2899912459
889	0.2899908549
890	0.2899887534
891	0.2899837439
892	0.289980616
893	0.289977928
894	0.2899728452
895	0.2899720388
896	0.2899695952
897	0.2899656609
898	0.289964488
899	0.2899608958
900	0.2899583788
901	0.289950046
902	0.2899460873
903	0.2899443523
904	0.2899422508
905	0.289935042
906	0.2899317187
907	0.2899233125
908	0.2899202091
909	0.2899173989
910	0.2899125849
911	0.2899026637
912	0.2898980208
913	0.2898957726
914	0.2898924248
915	0.2898845319
916	0.2898778607
917	0.2898742685
918	0.2898554769
919	0.2898520069
920	0.2898495388
921	0.2898454091
922	0.2898334597
923	0.2898315047
924	0.2898270084
925	0.2898237584
926	0.2898199219
927	0.289817356
928	0.2898142037
929	0.2898123954
930	0.2898097074
931	0.2898054066
932	0.2897972937
933	0.289794288
934	0.2897902316
935	0.2897853687
936	0.289781801
937	0.2897807991
938	0.2897785265
939	0.289774861
940	0.2897710978
941	0.2897696805
942	0.2897658928
943	0.2897645977
944	0.2897634981
945	0.289761421
946	0.2897562404
947	0.2897541633
948	0.2897513043
949	0.289751011
950	0.2897478832
951	0.2897439978
952	0.2897414808
953	0.2897401857
954	0.2897352006
955	0.2897319995
956	0.2897301179
957	0.2897267212
958	0.2897258659
959	0.2897251573
960	0.2897236422
961	0.2897197079
962	0.2897180462
963	0.289715627
964	0.2897129879
965	0.2897103976
966	0.2897030178
967	0.2897002321
968	0.2896940496
969	0.2896860345
970	0.289681025
971	0.2896782637
972	0.2896764798
973	0.2896743294
974	0.2896701263
975	0.2896674628
976	0.2896660455
977	0.2896623556
978	0.2896613781
979	0.2896605228
980	0.2896541693
981	0.2896493309
982	0.2896475226
983	0.2896359886
984	0.2896325675
985	0.2896308814
986	0.2896271426
987	0.289623917
988	0.2896210579
989	0.2896167082
990	0.2896077645
991	0.2896003358
992	0.2895975012
993	0.2895925161
994	0.2895907323
995	0.2895884841
996	0.2895871157
997	0.2895835235
998	0.289575264
999	0.2895731136
